Key,Id,Chinese (Simplified)(zh-Hans),English(en),Japanese(ja),Korean(ko)
ItemName_9,0,它能排出正常的粪便。,Normal feces comes out.,ふつうのうんこが出ます,보통의 똥이 나옵니다
ItemName_10,0,它会排出淡蓝色的粪便。,It produces light blue feces.,みずいろのうんこが出ます,물 색깔의 똥이 나옵니다.
ItemName_11,0,它会排出粉红色的粪便。,It produces pink feces.,ピンクのうんこが出ます,분홍색 똥이 나옵니다
ItemName_12,0,产生绿色粪便。,It produces green feces.,みどりのうんこが出ます,녹색 똥이 나옵니다
ItemName_13,0,它会产生紫色粪便。,It produces purple feces.,むらさきのうんこが出ます,보라색 똥이 나옵니다
ItemName_14,0,鸟粪是黄色的,It produces yellow feces.,イエローのうんこが出ます,노란 똥이 나옵니다
ItemName_15,0,它会产生会说话的粪便。,It produces feces that looks like it talks.,しゃべりそうなうんこが出ます,말할 것 같은 똥이 나옵니다
ItemName_16,0,它会排出金黄色的粪便。,It produces feces that look like gold.,黄金ふうのうんこが出ます,황금빛 똥이 나옵니다
ItemName_17,0,鸟儿拉出彩虹便便, Rainbow poop comes out.,レインボーのうんこが出ます,
Set,0,镶嵌,set,セットする,설정하기
noSet,0,未设置,Not set.,セットしない,설정하지 않음
rewardText,,"观看视频广告
100 枚金币
您可以赚取","Watch the video ad.
100 coins
You can earn 100 coins","動画広告を見ると
コインを100枚
獲得できます","동영상 광고 시청 시
100 코인을
획득할 수 있습니다"
rewardText0,,你的硬币还不够,Your coins are not enough.,コインがたりません,당신의 동전이 부족합니다
AdButtonText,,"广告中的金币
获得 100 个金币","Watch the ad and
 get 100 coins.","広告を見て
コイン100枚ゲット",광고를 보고 100 코인 받기
af_rewardText,,"您成功了
您赢得了 100 枚金币！","You did it!
You got 100 coins!","やったね！
コインを100枚
ゲットしたよ！","성공했어!
당신은 100개의 코인을 획득했어요!"
